musl-1.2.2-r7, installed, size:, 608, KiB
busybox-1.34.1-r3, installed, size:, 924, KiB
alpine-baselayout-3.2.0-r18, installed, size:, 404, KiB
alpine-keys-2.4-r1, installed, size:, 156, KiB
ca-certificates-bundle-20191127-r7, installed, size:, 228, KiB
libcrypto1.1-1.1.1l-r7, installed, size:, 2676, KiB
libssl1.1-1.1.1l-r7, installed, size:, 528, KiB
libretls-3.3.4-r2, installed, size:, 84, KiB
ssl_client-1.34.1-r3, installed, size:, 28, KiB
zlib-1.2.11-r3, installed, size:, 108, KiB
apk-tools-2.12.7-r3, installed, size:, 304, KiB
scanelf-1.3.3-r0, installed, size:, 92, KiB
musl-utils-1.2.2-r7, installed, size:, 140, KiB
libc-utils-0.7.2-r3, installed, size:, 4096, B
ncurses-terminfo-base-6.3_p20211120-r0, installed, size:, 216, KiB
ncurses-libs-6.3_p20211120-r0, installed, size:, 500, KiB
readline-8.1.1-r0, installed, size:, 308, KiB
bash-5.1.8-r0, installed, size:, 1296, KiB
libacl-2.2.53-r0, installed, size:, 44, KiB
libattr-2.5.1-r1, installed, size:, 32, KiB
skalibs-2.11.0.0-r0, installed, size:, 192, KiB
s6-ipcserver-2.11.0.0-r0, installed, size:, 76, KiB
utmps-0.1.0.3-r0, installed, size:, 64, KiB
coreutils-9.0-r2, installed, size:, 1168, KiB
ca-certificates-20211220-r0, installed, size:, 656, KiB
brotli-libs-1.0.9-r5, installed, size:, 720, KiB
nghttp2-libs-1.46.0-r0, installed, size:, 156, KiB
libcurl-7.80.0-r0, installed, size:, 504, KiB
curl-7.80.0-r0, installed, size:, 248, KiB
libmagic-5.41-r0, installed, size:, 7244, KiB
file-5.41-r0, installed, size:, 40, KiB
findutils-4.8.0-r1, installed, size:, 332, KiB
expat-2.4.4-r0, installed, size:, 192, KiB
pcre2-10.39-r0, installed, size:, 652, KiB
git-2.34.1-r0, installed, size:, 10, MiB
libxau-1.0.9-r0, installed, size:, 28, KiB
libmd-1.0.3-r0, installed, size:, 56, KiB
libbsd-0.11.3-r1, installed, size:, 80, KiB
libxdmcp-1.1.3-r0, installed, size:, 40, KiB
libxcb-1.14-r2, installed, size:, 996, KiB
libx11-1.7.2-r0, installed, size:, 3240, KiB
libxext-1.3.4-r0, installed, size:, 84, KiB
libbz2-1.0.8-r1, installed, size:, 72, KiB
libpng-1.6.37-r1, installed, size:, 204, KiB
freetype-2.11.0-r0, installed, size:, 748, KiB
libuuid-2.37.3-r0, installed, size:, 40, KiB
fontconfig-2.13.1-r4, installed, size:, 632, KiB
lcms2-2.12-r1, installed, size:, 344, KiB
